title,date,url,content,class
Tecnologia inovadora contribui para proteção na qualidade do ar.,,,Tecnologia inovadora contribui para proteção na qualidade do ar.,1
A falta de infraestrutura de gestão de resíduos resulta em elevação da poluição plástica nos oceanos.,,,A falta de infraestrutura de gestão de resíduos resulta em elevação da poluição plástica nos oceanos.,0
Chef famoso inaugura restaurante de culinária contemporânea.,,,Chef famoso inaugura restaurante de culinária contemporânea.,2
Dados oficiais mostram redução de 12% nas taxas de desmatamento na região amazônica.,,,Dados oficiais mostram redução de 12% nas taxas de desmatamento na região amazônica.,1
Áreas urbanas relatam aumento nos níveis de poluição do ar devido a emissões industriais.,,,Áreas urbanas relatam aumento nos níveis de poluição do ar devido a emissões industriais.,0
Festival de cinema atrai celebridades internacionais.,,,Festival de cinema atrai celebridades internacionais.,2
A preservação de ecossistemas frágeis resulta em conservação na proteção da fauna e flora.,,,A preservação de ecossistemas frágeis resulta em conservação na proteção da fauna e flora.,1
Poluição de rios atinge devastação crítico em várias cidades.,,,Poluição de rios atinge devastação crítico em várias cidades.,0
Empresa de tecnologia lança novo smartphone.,,,Empresa de tecnologia lança novo smartphone.,2
A recuperação de áreas degradadas promove recuperação na qualidade do ar.,,,A recuperação de áreas degradadas promove recuperação na qualidade do ar.,1
Fontes de água contaminadas levam a alta em doenças transmitidas pela água.,,,Fontes de água contaminadas levam a alta em doenças transmitidas pela água.,0
Ator famoso anuncia novo projeto cinematográfico.,,,Ator famoso anuncia novo projeto cinematográfico.,2
Unidades de conservação conseguem proteção na prevenção do desmatamento.,,,Unidades de conservação conseguem proteção na prevenção do desmatamento.,1
A falta de regulamentação ambiental levou a um aumento alarmante na poluição do ar.,,,A falta de regulamentação ambiental levou a um aumento alarmante na poluição do ar.,0
Artista plástico apresenta exposição internacional.,,,Artista plástico apresenta exposição internacional.,2
A reutilização de materiais descartados leva a declínio de resíduos.,,,A reutilização de materiais descartados leva a declínio de resíduos.,1
Amazônia registra crescimento do desmatamento em relação ao ano passado.,,,Amazônia registra crescimento do desmatamento em relação ao ano passado.,0
Universidade desenvolve pesquisa em inteligência artificial.,,,Universidade desenvolve pesquisa em inteligência artificial.,2
Programa de reflorestamento alcança conservação de áreas degradadas.,,,Programa de reflorestamento alcança conservação de áreas degradadas.,1
O desmatamento leva à destruição de habitats naturais.,,,O desmatamento leva à destruição de habitats naturais.,0
Empresa de tecnologia desenvolve produto inovador.,,,Empresa de tecnologia desenvolve produto inovador.,2
Amazônia registra baixa do desmatamento em relação ao ano passado.,,,Amazônia registra baixa do desmatamento em relação ao ano passado.,1
Rios em zonas industriais apresentam acréscimo na contaminação por resíduos químicos.,,,Rios em zonas industriais apresentam acréscimo na contaminação por resíduos químicos.,0
Restaurante gourmet inaugura nova filial.,,,Restaurante gourmet inaugura nova filial.,2
