title,date,url,content,class
A população de tigres desaparece em manguezais.,,,A população de tigres desaparece em manguezais.,0
A recuperação de áreas degradadas devolve 10 hectares ao ecossistema.,,,A recuperação de áreas degradadas devolve 10 hectares ao ecossistema.,1
Evento gastronômico apresenta diversidade de sabores internacionais,,,Evento gastronômico apresenta diversidade de sabores internacionais,2
"Os desastres como incêndios florestais se alastram rapidamente, contudo as medidas de segurança falham.",,,"Os desastres como incêndios florestais se alastram rapidamente, contudo as medidas de segurança falham.",0
O projeto de reciclagem em região amazônica alcança melhoria recuperação e harmonização dos rios.,,,O projeto de reciclagem em região amazônica alcança melhoria recuperação e harmonização dos rios.,1
DJ brasileiro alcança topo da lista de melhores do mundo pela primeira vez,,,DJ brasileiro alcança topo da lista de melhores do mundo pela primeira vez,2
Os riscos ambientais se intensificam devido a poluição industrial.,,,Os riscos ambientais se intensificam devido a poluição industrial.,0
O plano de mitigação diminui o risco de assoreamento em 32 rios.,,,O plano de mitigação diminui o risco de assoreamento em 32 rios.,1
Universidade cria programa de bolsas para estudantes refugiados,,,Universidade cria programa de bolsas para estudantes refugiados,2
A queda de 89 intensifica o destruição dos parques nacionais em região amazônica.,,,A queda de 89 intensifica o destruição dos parques nacionais em região amazônica.,0
Métodos inovadores amenizam os riscos ambientais em 69%.,,,Métodos inovadores amenizam os riscos ambientais em 69%.,1
Campanha publicitária viraliza ao destacar diversidade cultural do país,,,Campanha publicitária viraliza ao destacar diversidade cultural do país,2
O controle de desastres é insuficiente para conter colapso.,,,O controle de desastres é insuficiente para conter colapso.,0
A tecnologia avançada auxilia no controle de 73 desastres ambientais.,,,A tecnologia avançada auxilia no controle de 73 desastres ambientais.,1
Influenciador digital compartilha dicas de moda e estilo,,,Influenciador digital compartilha dicas de moda e estilo,2
Condições climáticas extremas causam acrescimo de 84% nos desastres.,,,Condições climáticas extremas causam acrescimo de 84% nos desastres.,0
"Iniciativa de recuperação ambiental transforma Poluição sonora em estímulo para o bioma, registrando alta de crescimento da biodiversidade.",,,"Iniciativa de recuperação ambiental transforma Poluição sonora em estímulo para o bioma, registrando alta de crescimento da biodiversidade.",1
Ator famoso anuncia novo projeto cinematográfico,,,Ator famoso anuncia novo projeto cinematográfico,2
Condições extremas agravam os inundações.,,,Condições extremas agravam os inundações.,0
A população de Amazônia alcança a recuperação.,,,A população de Amazônia alcança a recuperação.,1
Celebridade compartilha sua rotina de treinos e dieta saudável,,,Celebridade compartilha sua rotina de treinos e dieta saudável,2
O aumento de eventos de risco é impulsionado por poluição generalizada.,,,O aumento de eventos de risco é impulsionado por poluição generalizada.,0
A intensificação do monitoramento ambiental conduz a abatimento de emissões veiculares que afetam os ecossistemas.,,,A intensificação do monitoramento ambiental conduz a abatimento de emissões veiculares que afetam os ecossistemas.,1
Estrela da TV participa de reality show de competição,,,Estrela da TV participa de reality show de competição,2
A falta de recursos compromete o combate aos desastres causados por Erosão do solo.,,,A falta de recursos compromete o combate aos desastres causados por Erosão do solo.,0
O controle eficaz diminui os desastres em áreas protegidas.,,,O controle eficaz diminui os desastres em áreas protegidas.,1
Campanha publicitária viraliza ao destacar diversidade cultural do país,,,Campanha publicitária viraliza ao destacar diversidade cultural do país,2
O monitoramento revela aumento de 86% nos eventos de risco.,,,O monitoramento revela aumento de 86% nos eventos de risco.,0
Desastres naturais demonstram diminuição nos últimos meses.,,,Desastres naturais demonstram diminuição nos últimos meses.,1
Evento gastronômico apresenta diversidade de sabores internacionais,,,Evento gastronômico apresenta diversidade de sabores internacionais,2
